stop_words
at
totally
impressed
fast
very
rather
intelligent
tired
wrong
sure
finally
Excellent
Also
somewhat
forward
right
selfishness
quite
continuous
most
amazing
always
general
better
many
there
really
enjoyable
much
aux
just
Sort
However
unbelievable
extra
still
reaquainted
more
heavy
available
worth
paced
here
Also
probably
3rd
quite
new
just
interesting
how
ghostly
as
back
excellent
as
personable
little
original
Eventually
grand
often
However
occasional
better
When
relentless
next
even
almost
just
around
brilliantly
American
only
very
much
how
especially
beautifully
Same
again
too
boldly
also
deeply
personal
American
few
actaully
highly
universal
well
young
Sometimes
subject
Still
then
really
severe
close
famous
most
intriguing
helpful
there
human
poor
highest
very
able
institutional
good
religious
only
solid
first
new
very
pleased
young
more
better
new
discursive
very
so
entirely
different
out
organized
many
outspoken
decorative
little
front
off
beautifully
really
very
so
future
still
as
regardless
new
meaningful
never
confident
good
actively
short
well
right
little
pleased
full
only
important
great
much
real
lucky
surprised
scientific
mysterious
emotionally
-
well
really
good
happier
many
back
again
only
very
great
really
final
Instead
Highly
very
-
American
So
many
only
so
There
relevant
successful
very
clear
ever
heavy
ago
though
long
accurate
more
never
however
foster
Many
much
other
Very
very
brotherly
never
no
fast
nearly
twice
so
always
sure
nuts
very
just
progressive
successfully
old
much
again
how
certain
best
fast
Good
own
helpful
so
bad
only
easy
less
-
heady
impressed
MANY
natural
over
much
Really
enough
casual
so
fairly
small
creative
overwhelmed
own
fully
many
sure
antique
sincerely
out
good
human
inter
stunning
fuller
last
about
most
how
very
Once
little
when
then
true
6th
wry
well
amazing
good
greater
favorite
impossible
simply
long
Loose
very
then
longer
already
other
SO
so
interested
depressed
here
far
subversive
free
better
devotional
well
good
first
easy
more
right
later
Exactly
good
also
medieval
good
good
bad
great
good
good
lovely
too
Cute
strong
neat
more
general
sooner
fine
hard
so
very
repetitive
great
overall
again
bad
able
online
probably
creative
good
Here
easily
exceptional
dead
little
definitely
basic
definitely
again
very
Great
ever
outstanding
first
definitely
fun
good
much
great
so
very
fancy.<br
when
through
wonderful
real
well
only
slippery
more
experienced
most
enough
up
inept
Great
old
superficial
again
unique
well
as
interesting
best
once
great
definitely
good
final
Highly
right
really
quite
rude
through
now
pretty
wonderful
great
full
ever
different
unforgettable
However
far
GREAT
such
never
daily
young
able
robust
much
Bilingual
rather
best
ever
Parisian
most
great
just
nicely
historical
different
modern
So
easy
first
entirely
When
fine
slightly
minimalist
truly
real
good
detailled
informative
prepared
2nd
academic
bad
Good
more
actually
helpful
just
any
very
twin
just
so
static
easy
gentle
sequential
So
all
always
available
very
creepy
first
so
First
experimental
assorted
very
still
Excellent
much
just
rather
where
good
else
little
how
much
better
very
no
still
pretty
even
detrimental
old
also
highly
Bayesian
necessarily
good
highly
little
over
long
instinctively
first
how
really
easy
exactly
full
hard
more
great
shorter
just
succinct
more
high
happy
neatly
also
complex
much
new
definitive
Very
true
future
how
where
more
natural
Here
so
only
why
how
such
other
new
glad
probably
perfect
only
away
there
very
rightly
amazing
peanutty
first
very
hard
difficult
funny
daunting
outright
Portuguese
expensive
pleasurable
where
perfect
many
good
long
heroic
much
when
as
open
remarkable
good
most
Good
very
Good
other
only
other
Same
GOOD
favorite
well
long
so
interested
so
multiple
Very
good
most
greatest
Great
difficult
human
back
no
particular
black
nice
educational
when
so
most
personal
equestrian
very
heady
different
novel
Very
Maybe
together
half
pure
only
good
good
greatly
more
sweet
ever
remarkable
rather
again
Huge
ago
past
other
human
actually
ill
there
easy
sinister
though
biases.<br
outstanding
good
hardest
practical
important
small
clueless
difficult
virtuous
then
just
mostly
incredible
deeply
good
fantastic
outstanding
balanced
very
First
more
special
well
least
regulated
also
many
new
favorite
well
even
However
great
only
well
Here
various
later
well
anywhere
broad
on
most
better
very
often
when
nice
right
replete
deceptively
powerful
how
arrogant
interesting
indispensable
also
how
so
when
enjoyable
comfortably
friendlier
defiantly
again
grateful
little
enough
talented
physically
good
when
mean
so
yet
old
epic
well
indeed
fast
last
most
phobic
other
well
overall
Wonderful
Unfortunately
actual
just
happy
excellent
serious
further
financial
full
pregnant
really
Excellent
so
many
gifted
simple
However
so
When
Chinese
kinda
goldfish
good
perfect
great
other
so
all
older
Amazing
always
public
little
solid
quiet
again
absolute
so
how
white
similar
local
also
home
complex
how
playful
great
refreshing
annoying
confused
actually
such
outside
often
First
quickly
there
personal
free
pregnant
\\inchMerrily
wonderful
all
yet
increasingly
Japanese
next
cute
last
original
informative
great
just
just
constant
better
main
old
worth
there
then
back
much
good
back
as
anecdotal
instrumental
already
NOT
twin
great
essentially
American
great
domestic
Great
sure
together
old
good
closest
whole
Too
other
well
instead
when
already
highly
dear
there
dense
semi
tacky
ago
much
best
commonly
little
wonderful
much
repetitive
very
only
off
little
Wonderful
affordable
More
So
old
Pinterest
very
good
So
intriguing
young
forward
again
very
only
still
additional
then
cinematic
wide
just
Awesome
minded
peculiar
eventually
most
Various
specifically
mercurial
old
potty
much
black
course
good
even
psychologically
just
sure
only
beautifully
however
very
elsewhere
very
creative
as
here
always
around
Really
just
through
secret
definitely
nice
current
wonderful
as
old
relatable
too
able
flap
Just
-
True
historical
full
really
sharp
urban
recently
informative
unnecessary
just
1st
Great
compatible
spectacular
worth
little
great
fast
available
traditional
strong
tale
very
also
overall
cute
beautiful
huge
clear
slightly
better
new
much
blank
various
very
simple
early
well
now
definitely
better
there
cochineal
easy
interesting
brilliant
grossly
Overall
very
really
typical
much
most
top
comfortable
as
Most
just
Very
super
too
difficult
just
dry
just
hard
Bet
comprehensive
good
just
excited
serious
Typically
Excellent
relevant
Hot
Also
at
really
When
where
actual
latter
comprehensive
Thus
frequently
numerous
thankful
Other
unfounded
excellent
straightforward
various
clear
second
overall
away
never
very
Very
ok
truly
next
off
Great
just
that
nearly
where
ridiculous
even
quite
poorly
very
good
Great
diligently
loud
dreadful
more
along
importantly
realistic
recently
many
now
inevitably
very
fine
never
easy
small
first
particular
simply
Cute
fascinating
better
happy
Great
wonderful
there
why
critical
trim
seriously
well
military
over
memorable
correct
so
main
well
more
slower
casually
why
how
own
rarely
most
horribly
fast
very
main
special
silly
insightful
Great
so
more
bigger
unsettling
significant
emotionally
pet
just
away
Italian
dependent
best
well
when
best
very
more
out
As
intriguing
just
much
further
yummy
enough
excellent
good
Humorous
how
well
off
important
once
much
referenced
Unfortunately
very
then
along
famous
complete
first
new
so
So
however
ver
second
right
fast
Really
more
old
phonic
honest
top
powerful
awesome
second
epic
negative
silly
rather
Biblical
just
hypocritical
yet
Recently
also
personal
wiki
many
well
immature
first
slow
just
favorite
informative
disabled
factual
good
through
all
off
always
at
though
other
next
wide
there
FUNNY
too
much
long
few
simple
Normally
how
Easy
straight
Just
even
pro
excellent
paleo
good
just
Good
beautiful
many
how
angry
first
rich
trynna
really
worth
professional
funny
yet
entertainingly
favorite
bad
handy
easy
worth
clear
pretty
much
wonderful
South
great
wonderful
Last
least
compassionate
along
interesting
really
great
disappointed
enjoyable
good
now
soon
effectively
Nice
why
few
inevitable
enjoyable
dictionary
few
human
even
best
as
just
interested
big
close
forever
naturally
all
least
non
Apart
oldest
cultural
historical
Jamaican
overall
very
very
best
new
interactive
most
now
well
fetched
fearsome
most
first
white
unique
probably
dietary
original
historical
very
how
first
great
thick
before
other
sad
richly
cogently
most
former
only
Solid
specifically
political
where
same
surprised
as
also
artistic
Again
average
very
much
extremely
second
already
Great
great
certainly
least
still
Somehow
much
relative
new
Great
undergrad
good
only
worth
less
better
more
exactly
as
structured
old
defensive
disappointed
also
Scientific
other
own
so
disappointed
enjoyable
homemade
many
new
much
few
such
more
more
actually
interesting
gibberish
solo
smart
transparent
again
Naked
ONLY
past
great
widespread
own
JUST
now
great
individual
really
together
honest
very
tiresome
Greek
rather
little
Very
delightful
amazing
own
now
alive
about
Bookish
more
even
traditional
very
first
young
hopefully
new
quite
previous
outside
best
easy
worth
fireworks
small
ridiculous
honest
vast
back
many
sweet
American
destructive
biblical
very
many
absolute
great
civil
fun
prudent
such
probably
plastic
accurate
interesting
much
great
intricate
rich
truly
awesome
many
Much
regular
great
However
here
why
horrible
refreshing
young
top
small
Ancient
later
strong
early
flat
well
excellent
much
absolutely
real
same
old
cute
Celtic
new
celebrated
as
Very
multiple
ingenious
better
ever
then
informative
even
here
factual
extra
otherwise
deliberate
back
when
shy
beneficial
yet
irritating
real
good
square
Regardless
potty
alive
thorough
documentary
afterward
as
clever
further
now
so
just
how
somehow
Worth
just
real
Good
greatest
very
popular
how
healthier
arguably
ago
so
ultimate
very
natural
idiotic
right
when
then
straight
larger
seriously
better
sick
much
How
pleased
other
all
too
around
dry
obvious
highly
kind
certain
apart
amazing
ever
always
-
ago
available
sturdy
good
many
graphic
how
Best
human
excellent
still
many
romantic
bad
mainly
then
great
good
Maybe
really
best
Now
other
actual
easy
so
entertaining
often
just
else
religious
well
nice
as
excessively
helful
understandable
easily
much
only
skeptical
just
combined
powerful
fascinating
hard
own
basically
other
enjoyable
so
very
too
sagacious
high
first
how
always
poor
strange
vibrant
classic
urban
well
important
However
So
clear
so
thoroughly
human
similar
real
coming
gifted
just
American
so
hard
approximately
overly
So
easily
here
stupid
clear
blatantly
only
sort
such
good
as
assigned
favorite
more
when
Great
out
only
excited
smaller
surprise
lacking
very
more
miserable
humorous
evil
best
many
Behind
interesting
highly
there
great
highly
easy
accurate
nice
crucial
proud
happy
good
Great
least
better
very
so
better
church.<br
still
where
single
watercolor
even
practical
many
Irish
non
proper
great
just
more
easy
positive
Accurate
ever
however
Good
very
very
faithful
outside
long
political
several
wonderful
better
very
twisted
first
thin
as
only
how
outside
cute
long
tedious
vulnerable
hot
racial
provoking
much
everyday
busy
strong
real
good
good
long
memorable
long
profound
much
great
therapeutic
plain
ethnic
generic
early
careful
easy
only
strongly
Invisible
so
carefully
American
really
basic
key
much
safe
same
through.<br
good
back
actually
same
definitely
interesting
much
many
However
unique
just
English
Nearly
easy
where
mental
whole
much
expertly
when
boring
heavenly
difficult
all
maybe
twice
when
high
thoroughly
Great
helpful
other
nearly
Yea
wonderful
good
authentically
able
comprehensive
confusing
just
more
glad
yet
good
other
confidently
Beautiful
fun
then
religious
daily
fast
incorrect
then
red
now
worth
most
profound
excellent
short
high
entire
just
frequent
naturally
Unusually
silly
so
pure
universal
so
still
so
life.<br
simply
second
only
pedestrian.<br
special
promptly
new
Honestly
first
difficult
so
old
close
nutritional
ignorant
else
interested
perfect
excellently
Here
good
first
Piagetian
typically
highly
out
Almost
there
never
scholastic
great
interested
so
useful
well
Non
many
much
only
just
nicely
now
how
lovely
good
online
many
more
intense
better
extremely
THERE
greatest
healthy
human
good
young
oms
longer
Russian
sweet
black
legal
additional
just
incredibly
comprehensive
helpful
more
second
other
worth
polite
thrilled
intelligent
other
fourth
when
enjoyable
historical
middle
FAR
Nice
competent
obviously
perhaps
well
often
only
inside
delightful
Physician
much
different
even
other
globally
just
already
other
own
really
quite
easily
here
back
parallel
halfway
advanced
more
hot
true
everywhere
polished
legal
skillfully
well
Nice
military
great
only
out
so
thoroughly
so
enough
small
main
old
convinient
still
elderly
yet
additional
in
exactly
right
usual
ago
When
still
full
most
few
really
different
religious
personal
difficult
entirely
when
good
persuasive
horrible
especially
recently
sociopathic
little
so
only
Very
how
everyday
good
as
out
second
how
much
flimsy
dedicated
much
painful
high
forward
better
clear
detailed
few
good
strongly
much
graduate
Again
necessary
As
relative
inherently
ago
above
much
Unfortunately
forth
as
bad
Great
So
very
first
only
latest
same
long
seriously
where
all
traumatic
sympathetic
else
More
